send_time          ,time_process          ,image_count ,time_received
1733409588.8280573 , 0.015362024307250977 ,      125.0 ,1733409588.87324
1733409588.8620248 , 0.014744758605957031 ,      126.0 ,1733409588.87324
1733409588.8981543 , 0.014180898666381836 ,      127.0 ,1733409588.939565
1733409588.9319074 , 0.016425609588623047 ,      128.0 ,1733409588.939565
1733409588.9660432 , 0.014128684997558594 ,      129.0 ,1733409589.007374
1733409588.998105  , 0.014776468276977539 ,      130.0 ,1733409589.007374
1733409589.0524418 , 0.015124797821044922 ,      131.0 ,1733409589.09406
1733409589.084332  , 0.015470027923583984 ,      132.0 ,1733409589.09406
1733409589.1188624 , 0.014284610748291016 ,      133.0 ,1733409589.21485
1733409589.1524575 , 0.015686750411987305 ,      134.0 ,1733409589.21485
1733409589.1878283 , 0.014336347579956055 ,      135.0 ,1733409589.315789
1733409589.2188928 , 0.014024972915649414 ,      136.0 ,1733409589.315789
1733409589.2509112 , 0.01462244987487793  ,      137.0 ,1733409589.315789
1733409589.2824569 , 0.014573335647583008 ,      138.0 ,1733409589.315789
1733409589.3141088 , 0.014047384262084961 ,      139.0 ,1733409589.390721
1733409589.3460119 , 0.014459371566772461 ,      140.0 ,1733409589.390721
1733409589.3787866 , 0.014372825622558594 ,      141.0 ,1733409589.390721
1733409589.411472  , 0.015469074249267578 ,      142.0 ,1733409589.461
1733409589.442372  , 0.014843940734863281 ,      143.0 ,1733409589.461
1733409589.4744208 , 0.014562845230102539 ,      144.0 ,1733409589.5256279
1733409589.5076766 , 0.015207767486572266 ,      145.0 ,1733409589.5256279
1733409589.5390868 , 0.01514744758605957  ,      146.0 ,1733409589.604495
1733409589.5721397 , 0.014394521713256836 ,      147.0 ,1733409589.604495
1733409589.605201  , 0.016039609909057617 ,      148.0 ,1733409589.668965
1733409589.6463375 , 0.018093347549438477 ,      149.0 ,1733409589.668965
1733409589.679993  , 0.016530990600585938 ,      150.0 ,1733409589.7507021
1733409589.722154  , 0.01416158676147461  ,      151.0 ,1733409589.7507021
1733409589.7531965 , 0.01372671127319336  ,      152.0 ,1733409589.8321438
1733409589.7924235 , 0.01855778694152832  ,      153.0 ,1733409589.8321438
1733409590.3003533 , 0.02189326286315918  ,      154.0 ,1733409590.4434628
1733409590.3405323 , 0.017400503158569336 ,      155.0 ,1733409590.519947
1733409590.3738363 , 0.015129327774047852 ,      156.0 ,1733409590.519947
1733409590.4087262 , 0.015045642852783203 ,      157.0 ,1733409590.519947
